"Laikotarpis","Rodiklis","Alkoholiniai gėrimai","Matavimo vienetai","Reikšmė"
"2016","Alkoholinių gėrimų mažmeninės kainos","Putojantis vynuogių vynas, 0,75l","EUR","4,34"
"2015","Alkoholinių gėrimų mažmeninės kainos","Putojantis vynuogių vynas, 0,75l","EUR","4,17"
"2014","Alkoholinių gėrimų mažmeninės kainos","Putojantis vynuogių vynas, 0,75l","EUR","4,08"
"2013","Alkoholinių gėrimų mažmeninės kainos","Putojantis vynuogių vynas, 0,75l","EUR","3,95"
"2012","Alkoholinių gėrimų mažmeninės kainos","Putojantis vynuogių vynas, 0,75l","EUR","3,70"
"2011","Alkoholinių gėrimų mažmeninės kainos","Putojantis vynuogių vynas, 0,75l","EUR","3,67"
"2010","Alkoholinių gėrimų mažmeninės kainos","Putojantis vynuogių vynas, 0,75l","EUR","3,71"
"2009","Alkoholinių gėrimų mažmeninės kainos","Putojantis vynuogių vynas, 0,75l","EUR","3,75"
"2008","Alkoholinių gėrimų mažmeninės kainos","Putojantis vynuogių vynas, 0,75l","EUR","3,57"
"2007","Alkoholinių gėrimų mažmeninės kainos","Putojantis vynuogių vynas, 0,75l","EUR","3,19"
"2006","Alkoholinių gėrimų mažmeninės kainos","Putojantis vynuogių vynas, 0,75l","EUR","2,97"
"2005","Alkoholinių gėrimų mažmeninės kainos","Putojantis vynuogių vynas, 0,75l","EUR","2,98"
"2004","Alkoholinių gėrimų mažmeninės kainos","Putojantis vynuogių vynas, 0,75l","EUR","3,01"
"2003","Alkoholinių gėrimų mažmeninės kainos","Putojantis vynuogių vynas, 0,75l","EUR","3,36"
"2002","Alkoholinių gėrimų mažmeninės kainos","Putojantis vynuogių vynas, 0,75l","EUR","3,28"
"2001","Alkoholinių gėrimų mažmeninės kainos","Putojantis vynuogių vynas, 0,75l","EUR","3,29"
"2000","Alkoholinių gėrimų mažmeninės kainos","Putojantis vynuogių vynas, 0,75l","EUR","3,54"
