"GEO","TIME","CURRENCY","Value","Flag and Footnotes"
"Lithuania","1999S1","Euro","92.14",""
"Lithuania","1999S2","Euro","104.05",""
"Lithuania","2000S1","Euro","107.05",""
"Lithuania","2000S2","Euro","112.61",""
"Lithuania","2001S1","Euro","115.50",""
"Lithuania","2001S2","Euro","126.75",""
"Lithuania","2002S1","Euro","122.06",""
"Lithuania","2002S2","Euro","124.55",""
"Lithuania","2003S1","Euro","124.55",""
"Lithuania","2003S2","Euro","124.54",""
"Lithuania","2004S1","Euro","130.34",""
"Lithuania","2004S2","Euro","144.81",""
"Lithuania","2005S1","Euro","144.81",""
"Lithuania","2005S2","Euro","159.29",""
"Lithuania","2006S1","Euro","159.29",""
"Lithuania","2006S2","Euro","173.77",""
"Lithuania","2007S1","Euro","173.77",""
"Lithuania","2007S2","Euro","202.73",""
"Lithuania","2008S1","Euro","231.70",""
"Lithuania","2008S2","Euro","231.70",""
"Lithuania","2009S1","Euro","231.70",""
"Lithuania","2009S2","Euro","231.70",""
"Lithuania","2010S1","Euro","231.70",""
"Lithuania","2010S2","Euro","231.70",""
"Lithuania","2011S1","Euro","231.70",""
"Lithuania","2011S2","Euro","231.70",""
"Lithuania","2012S1","Euro","231.70",""
"Lithuania","2012S2","Euro","231.70",""
"Lithuania","2013S1","Euro","289.62",""
"Lithuania","2013S2","Euro","289.62",""
"Lithuania","2014S1","Euro","289.62",""
"Lithuania","2014S2","Euro","289.62",""
"Lithuania","2015S1","Euro","300.00",""
"Lithuania","2015S2","Euro","325.00",""
"Lithuania","2016S1","Euro","350.00",""
"Lithuania","2016S2","Euro","380.00",""
"Lithuania","2017S1","Euro","380.00",""
"Lithuania","2017S2","Euro","380.00",""
"Lithuania","2018S1","Euro","400.00",""
