"Laikotarpis","Rodiklis","Turistų tipas","Matavimo vienetai","Reikšmė"
"2016","Turistų, pasinaudojusių kelionių agentūrų ir kelionių organizatorių paslaugomis, skaičius","Išvykusieji Lietuvos gyventojai","tūkst.","275,2"
"2015","Turistų, pasinaudojusių kelionių agentūrų ir kelionių organizatorių paslaugomis, skaičius","Išvykusieji Lietuvos gyventojai","tūkst.","265,3"
"2014","Turistų, pasinaudojusių kelionių agentūrų ir kelionių organizatorių paslaugomis, skaičius","Išvykusieji Lietuvos gyventojai","tūkst.","237,2"
"2013","Turistų, pasinaudojusių kelionių agentūrų ir kelionių organizatorių paslaugomis, skaičius","Išvykusieji Lietuvos gyventojai","tūkst.","205,4"
"2012","Turistų, pasinaudojusių kelionių agentūrų ir kelionių organizatorių paslaugomis, skaičius","Išvykusieji Lietuvos gyventojai","tūkst.","183,2"
"2011","Turistų, pasinaudojusių kelionių agentūrų ir kelionių organizatorių paslaugomis, skaičius","Išvykusieji Lietuvos gyventojai","tūkst.","185,2"
"2010","Turistų, pasinaudojusių kelionių agentūrų ir kelionių organizatorių paslaugomis, skaičius","Išvykusieji Lietuvos gyventojai","tūkst.","198,7"
"2009","Turistų, pasinaudojusių kelionių agentūrų ir kelionių organizatorių paslaugomis, skaičius","Išvykusieji Lietuvos gyventojai","tūkst.","223,6"
"2008","Turistų, pasinaudojusių kelionių agentūrų ir kelionių organizatorių paslaugomis, skaičius","Išvykusieji Lietuvos gyventojai","tūkst.","318,7"
"2007","Turistų, pasinaudojusių kelionių agentūrų ir kelionių organizatorių paslaugomis, skaičius","Išvykusieji Lietuvos gyventojai","tūkst.","253,0"
"2006","Turistų, pasinaudojusių kelionių agentūrų ir kelionių organizatorių paslaugomis, skaičius","Išvykusieji Lietuvos gyventojai","tūkst.","233,7"
"2005","Turistų, pasinaudojusių kelionių agentūrų ir kelionių organizatorių paslaugomis, skaičius","Išvykusieji Lietuvos gyventojai","tūkst.","193,9"
"2004","Turistų, pasinaudojusių kelionių agentūrų ir kelionių organizatorių paslaugomis, skaičius","Išvykusieji Lietuvos gyventojai","tūkst.","156,9"
"2003","Turistų, pasinaudojusių kelionių agentūrų ir kelionių organizatorių paslaugomis, skaičius","Išvykusieji Lietuvos gyventojai","tūkst.","123,5"
"2002","Turistų, pasinaudojusių kelionių agentūrų ir kelionių organizatorių paslaugomis, skaičius","Išvykusieji Lietuvos gyventojai","tūkst.","141,7"
"2001","Turistų, pasinaudojusių kelionių agentūrų ir kelionių organizatorių paslaugomis, skaičius","Išvykusieji Lietuvos gyventojai","tūkst.","132,2"
"2000","Turistų, pasinaudojusių kelionių agentūrų ir kelionių organizatorių paslaugomis, skaičius","Išvykusieji Lietuvos gyventojai","tūkst.","151,1"
"1999","Turistų, pasinaudojusių kelionių agentūrų ir kelionių organizatorių paslaugomis, skaičius","Išvykusieji Lietuvos gyventojai","tūkst.","166,8"
"1998","Turistų, pasinaudojusių kelionių agentūrų ir kelionių organizatorių paslaugomis, skaičius","Išvykusieji Lietuvos gyventojai","tūkst.","147,7"
"1997","Turistų, pasinaudojusių kelionių agentūrų ir kelionių organizatorių paslaugomis, skaičius","Išvykusieji Lietuvos gyventojai","tūkst.","102,1"
"1996","Turistų, pasinaudojusių kelionių agentūrų ir kelionių organizatorių paslaugomis, skaičius","Išvykusieji Lietuvos gyventojai","tūkst.","69,3"
"1995","Turistų, pasinaudojusių kelionių agentūrų ir kelionių organizatorių paslaugomis, skaičius","Išvykusieji Lietuvos gyventojai","tūkst.","109,2"
